Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
PLTM,65.95,56.44,33.76,19.73,100.0,67.36,37.67,42.6,54.3,65.73,100.0,12.53
DIAL,65.58,45.92,33.56,18.22,77.95,51.7,63.24,64.72,69.91,47.52,64.66,28.52
MUB,69.2,66.06,33.52,106.9,100.0,74.34,45.87,46.19,45.31,71.8,53.74,73.25
UPV,86.64,50.96,33.28,95.34,88.07,86.03,86.03,86.03,86.03,57.26,98.47,5.45
BLV,66.15,46.83,33.28,68.83,100.0,56.7,48.82,50.12,47.55,60.18,39.59,44.81
IGIB,70.34,64.47,33.2,53.38,100.0,64.94,55.45,56.13,46.28,70.95,61.44,63.06
MQQQ,75.09,48.46,33.12,176.49,100.0,64.42,64.42,64.42,64.42,68.43,83.32,5.47
NJNK,75.8,53.94,33.06,20.09,58.43,83.24,83.24,83.24,83.24,47.72,73.81,40.45
GTOQ,73.55,50.46,32.86,22.36,92.09,65.61,65.61,65.61,65.61,44.85,73.35,33.93
MDIV,68.45,54.71,32.85,16.37,97.7,43.37,62.88,62.88,62.88,41.34,82.17,39.04
SHRY,100.0,45.54,32.52,43.58,100.0,100.0,100.0,100.0,100.0,48.9,67.55,24.19
GENM,80.57,45.04,32.27,10.31,100.0,72.25,72.25,72.25,72.25,47.86,48.28,40.45
QQQU,68.84,47.15,32.25,47.58,100.0,50.19,58.16,59.13,58.39,71.71,77.27,5.45
PQDI,82.7,48.73,32.24,19.4,100.0,75.29,75.29,75.29,75.29,42.75,72.36,31.8
ASMG,65.14,54.7,32.23,39.17,100.0,36.76,57.66,57.66,57.66,70.08,100.0,5.45
NVDU,68.51,47.42,32.16,111.92,92.13,65.06,53.95,55.14,56.05,68.86,76.53,8.54
SMHX,69.76,48.97,32.0,42.82,100.0,45.73,62.94,62.94,62.94,58.35,89.62,7.54
CGMS,72.32,67.55,31.67,27.5,100.0,65.4,57.83,57.31,57.83,53.4,72.67,71.92
ZHOG,74.32,48.77,31.64,51.53,100.0,63.31,63.31,63.31,63.31,35.99,67.4,40.45
SLVR,65.87,56.58,31.5,60.74,100.0,49.03,53.18,52.92,50.27,66.94,100.0,12.11
CLOZ,71.01,48.52,31.46,25.76,94.25,64.67,60.67,60.35,53.64,47.39,54.57,43.94
FIXP,86.42,47.72,30.81,19.87,100.0,80.6,80.6,80.6,80.6,42.05,60.07,40.45
EIPI,68.13,63.2,30.48,22.35,99.25,67.25,47.88,47.88,47.88,41.31,100.0,44.69
HIBL,68.42,53.8,30.47,72.01,85.59,65.81,58.43,58.43,58.43,66.49,100.0,5.45
XB,68.41,53.68,30.47,39.11,100.0,52.76,56.05,56.05,56.05,46.57,73.88,40.45
GOOX,66.95,54.18,30.38,68.1,100.0,51.05,53.62,53.92,53.92,68.02,100.0,5.45
PILL,67.84,53.41,30.31,11.25,95.03,48.86,60.26,60.26,60.26,64.91,100.0,5.45
FMUN,74.53,46.07,30.23,50.1,100.0,63.91,63.46,63.46,63.46,43.3,53.82,41.01
ROM,65.74,48.66,30.21,92.21,79.43,71.24,53.55,53.55,53.55,66.57,80.52,9.6
EART,65.28,50.61,30.13,32.54,85.8,55.21,57.19,57.19,57.19,53.71,100.0,5.45
CHPS,69.57,52.74,30.09,61.85,99.41,52.87,58.95,58.95,58.95,61.22,100.0,6.1
EMET,79.2,50.62,30.04,44.06,100.0,70.29,70.29,70.29,70.29,53.76,100.0,5.45
UBR,67.1,49.68,30.04,42.08,100.0,52.08,53.52,53.52,53.52,50.0,100.0,5.45
AGMI,71.14,53.49,30.02,72.5,81.78,66.58,66.58,66.58,66.58,52.65,100.0,13.31
MTUL,100.0,45.23,30.0,40.79,100.0,100.0,100.0,100.0,100.0,62.27,78.53,5.45
FLMI,68.32,54.69,29.37,24.94,100.0,56.51,56.97,51.27,48.19,51.84,65.11,47.36
QTPI,65.54,53.73,29.36,25.69,55.75,69.73,69.73,69.73,69.73,45.65,74.69,40.45
NBFC,99.59,52.98,29.22,50.81,99.59,99.59,99.59,99.59,99.59,42.63,74.68,40.45
IEF,69.63,54.76,29.13,95.33,100.0,73.01,46.23,47.59,50.59,75.04,31.84,62.15
CPRO,88.12,52.84,29.13,27.46,100.0,83.03,83.03,83.03,83.03,37.48,77.98,40.45
AJAN,69.77,50.09,29.1,27.91,26.25,88.42,88.42,88.42,88.42,42.69,66.4,40.45
IGBH,70.78,51.56,29.04,24.33,92.0,61.45,61.81,61.81,61.81,37.76,74.18,40.4
CMF,68.59,58.34,29.0,57.28,100.0,48.39,59.11,58.02,59.15,51.89,54.05,66.12
BSMY,72.6,48.78,28.99,24.53,78.56,71.1,69.47,69.47,69.47,46.19,60.14,40.46
NFLT,69.51,51.13,28.88,22.99,85.0,61.82,63.46,63.46,63.46,48.23,67.45,38.67
ZJUL,72.02,53.1,28.75,29.44,90.02,64.3,64.3,64.3,64.3,43.1,74.41,40.7
PEY,65.57,53.82,28.02,21.41,89.25,59.29,54.26,53.59,50.53,54.58,71.66,37.73
SCHZ,67.1,59.03,28.01,23.25,94.5,65.37,49.9,50.48,48.87,70.17,42.98,66.11
OCTJ,77.57,51.34,27.92,23.91,100.0,67.96,67.96,67.96,67.96,41.83,70.59,40.45
VTEC,67.7,50.08,27.53,99.98,100.0,50.96,55.37,55.58,55.57,45.31,46.95,55.79
SPIB,69.39,64.9,27.41,33.58,99.02,62.67,53.9,54.07,51.39,68.35,56.76,69.86
IAGG,68.88,52.99,27.4,49.86,100.0,47.72,61.78,58.78,56.26,68.97,20.66,71.29
BIV,65.56,59.69,27.37,77.17,100.0,53.64,50.37,54.91,40.71,72.47,44.22,65.25
ABXB,100.0,47.25,27.36,19.43,100.0,100.0,100.0,100.0,100.0,50.34,62.1,32.32
HYS,75.72,57.38,27.21,93.53,83.33,67.67,75.41,75.0,74.53,45.74,73.58,50.47
LOCT,90.72,50.41,27.0,23.83,78.77,95.84,95.84,95.84,95.84,39.05,69.92,40.45
IUSB,66.44,60.72,26.77,46.29,63.41,85.07,60.51,59.15,51.09,70.34,47.5,66.27
GTO,75.73,47.19,26.65,47.12,100.0,71.53,61.52,62.98,61.65,46.33,53.47,42.24
SPAB,82.45,58.56,26.45,25.64,92.62,76.78,78.92,77.56,79.84,70.13,41.61,66.17
EVYM,69.86,49.74,26.36,50.26,88.38,61.93,61.93,61.93,61.93,43.72,64.67,40.45
HYGW,71.46,50.94,26.35,29.19,100.0,68.4,54.14,54.14,54.14,40.22,69.98,40.97
VCRM,74.86,51.87,26.34,75.69,100.0,76.24,57.55,56.69,57.47,42.08,63.21,48.06
SCHP,73.94,58.54,26.02,26.77,100.0,80.6,52.77,54.6,51.41,65.92,39.61,70.49
AUGM,80.95,52.02,25.82,34.29,77.63,82.37,82.37,82.37,82.37,44.15,70.86,40.45
AGG,67.38,59.0,25.77,99.35,100.0,58.09,49.06,49.59,56.32,70.51,42.4,66.33
CBON,81.39,48.19,25.5,23.61,100.0,73.65,73.28,73.28,73.28,37.53,70.15,35.64
CGHM,65.94,57.05,25.49,25.57,77.05,72.73,57.75,60.61,41.41,44.21,63.46,59.47
CPSA,100.0,52.7,25.49,27.22,100.0,100.0,100.0,100.0,100.0,43.61,73.2,40.45
SCHR,68.02,56.88,25.37,24.88,100.0,55.24,52.41,53.56,57.51,74.58,29.77,69.54
BSCY,66.36,50.27,25.07,20.82,72.76,67.46,61.6,61.34,61.34,47.57,60.02,43.42
ZNOV,74.49,49.72,24.96,26.84,93.61,66.15,66.37,66.37,66.37,41.61,65.88,40.65
BND,66.31,58.62,24.77,73.65,91.2,67.65,48.59,48.8,50.1,70.28,41.6,66.22
SPTI,74.43,56.64,24.49,28.62,100.0,81.77,55.4,53.94,47.4,74.51,29.13,69.55
INMU,81.35,45.57,24.38,24.09,100.0,80.71,69.27,69.27,69.27,48.17,47.66,42.11
FMUB,72.79,50.01,24.09,51.02,82.23,71.16,67.41,67.41,67.41,46.04,63.18,40.96
XHYE,72.3,52.18,24.05,39.29,72.3,72.3,72.3,72.3,72.3,29.43,81.84,40.45
BSCX,65.35,51.21,24.02,21.26,67.58,60.81,58.31,78.43,74.52,47.48,59.37,46.39
BSCW,67.03,53.55,23.88,20.7,100.0,59.45,51.7,50.48,41.93,48.2,61.81,49.66
FTCB,77.77,53.28,23.4,21.03,96.46,74.22,70.95,70.58,54.78,57.27,47.46,55.89
OCTM,70.0,51.54,23.38,32.85,0.0,100.0,100.0,100.0,100.0,43.06,70.28,40.45
MARB,83.8,45.51,23.31,20.8,100.0,76.85,76.85,76.85,76.85,50.3,47.87,40.45
DECM,82.68,50.92,23.19,33.02,100.0,75.25,75.25,75.25,75.25,41.11,69.88,40.45
CPNS,100.0,52.29,23.03,27.49,100.0,100.0,100.0,100.0,100.0,44.73,71.23,40.45
MFSM,74.46,51.08,23.02,25.06,98.19,65.42,63.67,63.67,63.67,47.54,65.75,40.45
GMUN,95.12,50.05,22.46,50.48,95.12,95.12,95.12,95.12,95.12,47.15,63.09,40.45
CPSY,100.0,51.09,22.4,25.25,100.0,100.0,100.0,100.0,100.0,41.47,70.12,40.45
CPSL,78.85,51.7,22.07,27.48,88.52,74.8,74.65,74.65,74.65,42.75,70.89,40.51
CPNQ,73.71,53.2,21.71,26.69,74.91,73.2,73.2,73.2,73.2,48.28,71.3,40.45
IBHH,68.6,52.52,21.71,23.5,90.61,63.94,56.52,56.52,56.52,43.55,72.57,40.59
TAXM,80.93,47.52,21.32,50.12,41.32,97.91,97.91,97.91,97.91,49.52,54.16,40.45
BRTR,65.55,46.86,21.17,50.31,100.0,53.53,49.27,49.27,49.27,46.18,50.82,43.83
JMTG,66.27,54.0,21.1,51.01,100.0,44.37,54.3,57.21,58.78,53.26,50.0,57.95
IBDU,73.64,54.32,20.99,23.26,100.0,65.13,61.65,59.35,60.09,50.87,55.64,55.31
CPRY,80.02,53.3,20.91,27.39,84.54,78.08,78.08,78.08,78.08,38.84,78.32,40.45
CGCB,73.86,58.06,20.66,26.35,100.0,60.38,69.07,65.6,49.42,58.81,41.06,72.46
SPMB,67.7,58.53,20.61,22.43,100.0,51.07,54.12,54.57,59.5,54.1,52.35,66.71
VPLS,80.01,49.1,20.5,77.77,100.0,84.05,65.07,64.41,62.9,43.8,52.55,49.39
TAXE,79.52,51.82,20.36,51.14,67.4,84.71,84.71,84.71,84.71,43.55,70.4,40.72
FTSL,65.1,53.5,20.29,44.9,85.7,69.41,47.72,48.44,52.67,53.88,51.35,55.15
UBND,67.75,45.94,20.0,21.78,100.0,49.62,54.09,57.71,60.53,44.47,47.97,45.07
JMST,66.68,52.45,19.87,50.92,94.04,52.81,60.23,57.89,44.24,58.78,21.64,75.45
SYSB,69.26,46.79,19.67,89.17,100.0,64.65,50.06,50.98,54.89,44.15,59.63,37.21
HYTR,82.58,46.18,19.61,21.44,87.31,86.57,77.21,77.21,77.21,48.33,54.28,37.74
SCCR,65.84,48.54,19.34,25.7,100.0,16.43,69.66,72.14,70.99,48.21,48.68,48.63
JBBB,70.47,46.06,19.29,46.9,100.0,64.26,55.17,53.35,52.78,53.28,40.14,46.72
BSCU,69.2,49.94,19.22,16.78,100.0,62.48,53.13,54.53,48.42,53.66,54.45,43.68
BALT,70.29,56.44,19.14,33.76,100.0,84.1,44.29,43.76,38.18,35.84,72.13,55.58
MTBA,67.79,49.14,18.94,49.75,100.0,52.25,61.76,61.63,31.26,46.15,48.13,51.88
HTRB,67.78,46.04,18.9,33.92,100.0,62.81,48.87,48.33,50.22,46.1,47.34,44.87
FLCB,70.47,47.57,18.58,21.5,100.0,45.14,65.41,65.51,62.78,51.93,41.24,50.39
VSHY,100.0,51.14,18.55,21.68,100.0,100.0,100.0,100.0,100.0,46.99,71.85,35.62
PMMR,100.0,50.61,18.23,26.66,100.0,100.0,100.0,100.0,100.0,39.83,69.92,40.45
LJUL,70.95,49.62,17.58,23.94,7.87,97.99,97.99,97.99,97.99,37.5,68.76,40.45
VTIP,77.66,57.07,17.01,50.11,100.0,80.21,67.94,63.54,42.73,59.46,34.37,75.45
IBHG,68.95,47.57,16.28,22.1,93.6,60.63,57.14,57.14,57.14,38.53,64.45,38.46
PMAP,81.92,47.3,15.86,26.86,52.18,94.67,94.67,94.67,94.67,27.24,69.46,40.45
FLXR,66.2,58.24,15.79,39.24,100.0,61.33,44.24,43.98,54.08,43.65,66.45,60.18
UITB,65.07,46.48,15.68,46.99,100.0,68.8,41.43,41.6,33.49,47.33,41.43,50.37
VGSH,69.17,55.16,14.97,58.44,85.9,83.96,53.64,47.93,42.02,68.99,22.1,75.45
DUSB,65.67,47.46,14.78,50.78,70.13,62.35,65.04,65.04,62.76,28.36,54.93,52.85
CPSP,66.45,47.67,14.49,26.6,89.05,56.77,56.77,56.77,56.77,27.41,70.4,40.45
FOPC,85.47,45.03,14.42,25.51,70.82,91.75,91.75,91.75,91.75,43.92,51.05,40.45
JPST,72.53,62.99,13.96,50.51,100.0,68.53,56.02,55.39,58.58,54.44,54.85,75.45
VSDM,79.42,47.66,13.64,76.54,100.0,87.82,61.04,61.04,61.04,46.6,53.1,43.55
AVIE,69.68,59.59,13.58,72.46,94.14,59.2,59.2,59.2,59.2,38.1,100.0,37.67
VETZ,84.96,45.84,13.55,19.95,94.03,81.07,81.07,81.07,81.07,45.7,52.09,40.45
DFSD,66.02,59.44,13.38,48.01,85.05,58.01,58.85,57.35,55.58,48.56,48.9,75.45
MRGR,75.19,55.95,13.16,45.09,100.0,64.56,64.56,64.56,64.56,49.26,78.43,40.45
VUSB,67.87,65.91,12.5,49.71,100.0,67.86,44.27,45.65,52.7,56.66,61.61,75.45
BOXX,71.23,55.66,12.36,116.32,100.0,52.34,63.7,64.3,57.94,50.57,36.67,75.45
SGOV,67.65,51.82,12.08,100.5,100.0,53.75,53.62,53.55,54.49,50.35,25.87,75.45
SHM,70.77,48.69,11.89,47.97,100.0,65.0,53.61,54.87,56.27,46.27,32.58,64.3
JULJ,88.24,50.85,11.85,24.86,82.33,90.78,90.78,90.78,90.78,42.16,68.95,40.45
SUSB,65.92,46.52,11.63,25.07,100.0,61.24,46.85,44.47,44.47,41.55,49.02,47.44
BSJQ,74.75,50.42,11.05,23.25,100.0,66.66,66.64,66.09,48.13,32.26,69.24,45.29
PAAA,67.19,64.34,11.01,51.28,79.85,90.78,43.65,43.75,52.48,42.77,67.05,75.45
AGRH,100.0,46.87,10.47,26.15,100.0,100.0,100.0,100.0,100.0,27.03,68.38,40.45
MYCH,84.87,46.06,10.23,24.93,52.38,98.79,98.79,98.79,98.79,45.43,51.03,42.1
LDUR,65.42,46.11,9.75,95.6,57.26,45.19,82.11,82.11,82.11,48.98,39.88,49.76
CLOB,67.41,47.45,9.03,49.81,93.53,60.26,53.96,53.96,53.96,44.33,57.19,40.88
SEIX,65.02,50.23,8.88,23.12,100.0,48.96,50.63,50.63,50.63,39.57,67.87,41.46
PCLO,100.0,51.8,8.78,24.94,100.0,100.0,100.0,100.0,100.0,49.29,66.56,40.45
NUSB,100.0,45.14,3.47,25.24,100.0,100.0,100.0,100.0,100.0,25.7,63.92,40.86
CRUX,72.99,47.18,,30.08,98.9,70.82,54.79,60.06,59.15,61.26,50.0,35.9
