Ticker,Cum_Buy_%,Total_Score,Momentum_Score,Price,Buy_5m_%,Buy_1h_%,Buy_6h_%,Buy_1d_%,Buy_3d_%,Short_Term,Medium_Term,Long_Term
VSGX,66.51,69.28,48.74,76.05,100.0,58.25,49.08,50.24,46.58,64.36,95.25,49.63
PJAN,67.82,61.52,48.74,47.3,100.0,71.57,44.28,44.28,44.28,49.07,85.26,48.53
YSEP,69.4,54.08,48.74,26.78,100.0,50.43,59.54,59.54,59.54,48.47,90.29,25.91
XMMO,78.23,71.02,48.67,156.61,100.0,83.54,62.45,62.62,54.72,64.02,94.82,54.56
PSFJ,100.0,58.31,48.67,33.58,100.0,100.0,100.0,100.0,100.0,49.56,87.92,37.88
HSBH,67.01,61.44,48.57,100.9,50.0,74.3,74.3,74.3,74.3,50.0,100.0,34.84
NUGO,70.63,53.29,48.56,38.31,100.0,58.04,58.04,58.04,58.04,65.47,77.09,24.85
LGLV,70.71,49.52,48.52,180.3,100.0,58.13,58.17,58.17,58.17,48.1,59.72,41.48
CGNG,70.28,68.31,48.49,33.68,100.0,52.34,61.12,62.18,56.95,69.69,93.55,45.37
IGM,72.29,65.27,48.44,129.42,95.88,44.77,76.14,75.39,57.58,77.88,84.62,40.45
VTWG,81.82,52.91,48.41,245.08,100.0,77.96,71.84,71.84,71.84,63.79,89.1,14.45
JULP,91.02,58.39,48.39,31.19,100.0,87.17,87.17,87.17,87.17,49.95,87.87,37.87
DJUL,68.19,58.54,48.34,48.05,77.61,64.16,64.16,64.16,64.16,48.68,87.35,39.49
EMBX,68.03,48.22,48.31,51.4,91.2,58.81,57.71,57.71,57.71,48.43,84.36,16.46
HYD,67.86,52.58,48.3,50.99,100.0,57.85,51.86,52.44,51.89,58.56,44.39,56.02
IEUS,85.33,48.52,48.27,70.72,93.0,82.04,82.04,82.04,82.04,58.99,89.62,6.02
MCHS,85.81,59.69,48.25,39.41,100.0,79.73,79.73,79.73,79.73,59.71,100.0,24.41
ECML,100.0,53.75,48.18,37.15,100.0,100.0,100.0,100.0,100.0,41.24,97.13,23.6
YLD,82.3,52.11,48.18,18.94,87.51,70.88,92.65,76.13,75.56,48.41,69.89,38.87
TLCI,75.48,45.03,48.18,25.49,74.44,75.93,75.93,75.93,75.93,58.03,43.84,37.94
SEPP,69.87,58.63,48.12,30.86,100.0,56.96,56.96,56.96,56.96,50.06,87.87,38.41
GK,100.0,47.33,48.06,25.27,100.0,100.0,100.0,100.0,100.0,65.84,81.98,5.45
TRTY,75.91,57.26,47.97,30.61,100.0,65.58,65.58,65.58,65.58,35.7,96.51,36.38
GAUG,71.63,58.72,47.89,39.67,91.28,63.21,63.21,63.21,63.21,49.1,85.07,41.68
PBMY,78.29,55.16,47.89,30.54,53.97,88.71,88.71,88.71,88.71,41.95,81.41,40.45
TXUE,69.94,62.45,47.82,33.71,100.0,53.37,59.11,59.11,59.11,53.82,95.22,39.16
GSC,71.94,55.67,47.82,58.14,100.0,59.91,59.91,59.91,59.91,61.56,90.58,21.44
XME,68.81,71.36,47.76,114.91,89.43,72.21,53.88,52.64,51.91,82.75,100.0,39.19
RWEM,70.74,58.32,47.73,31.92,95.24,58.34,61.3,61.3,61.3,64.68,96.75,20.71
